date,revenue,avg_ticket
3/31/2018,4014.90,4.2
6/30/2018,4104.54,3.85
9/30/2018,4036.82,4.45
12/31/2018,4071.77,5.45
3/31/2019,4027.75,4.26
6/30/2019,4036.45,4.58
9/30/2019,4099.55,4.34
12/31/2019,4083.89,4.62
3/31/2020,4155.48,4.73
6/30/2020,4094.53,5.15
9/30/2020,4073.05,4.2
12/31/2020,4081.68,5.1
3/31/2021,4111.60,5.85
6/30/2021,4055.64,4.96
9/30/2021,4069.99,4.9
12/31/2021,4113.56,4.98
3/31/2022,4108.74,5.14
6/30/2022,4157.25,5.1
9/30/2022,4129.28,5.15
12/31/2022,4122.84,5.25
3/31/2023,4217.88,5.08
6/30/2023,4275.83,5.1
9/30/2023,4193.33,5.98
12/31/2023,4157.25,5.61
